PortfolioCode,SecurityCode,Isin,SecurityName,SecurityClass,Issuer,Date,Value
P1,S1,ISIN1,Security1,A,,20201020,10
P1,S2,ISIN2,Security2,B,,20201020,11
P1,S3,,Security3,,Issuer1,20201020,12
P1,S1,ISIN1,Security1,A,,20201021,11
P1,S2,ISIN2,Security2,B,,20201021,12
P1,S3,,Security3,,Issuer1,20201021,13
P2,S4,ISIN4,Security4,C,,20201020,20
P2,S2,ISIN2,Security2,B,,20201020,21
P2,S3,,Security3,,Issuer1,20201020,22
P2,S5,ISIN5,Security5,D,,20201021,21
P2,S2,ISIN2,Security2,B,,20201021,22
P2,S3,,Security3,,Issuer1,20201021,33
P2,S2,ISIN2,Security2,B,,20201020,31
P2,S3,,Security3,,Issuer1,20201020,32
P2,S3,,Security3,,Issuer1,20201021,33
P2,S2,ISIN2,Security2,B,,20201021,32
P2,S3,,Security3,,Issuer1,20201021,4
